date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:50:39	40152/40152	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Oct%202022%2016:50:41%20GMT	https://raisari.katsudoto.id/181252	C:/My%20Web%20Sites/wed1/raisari.katsudoto.id/181252.html	(from )
23:50:40	81/81	---MCZ	200	added ('OK')	text/plain	date:Fri,%2017%20Dec%202021%2003:34:13%20GMT	https://raisari.katsudoto.id/robots.txt		(from )
23:50:42	80865/80865	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Mar%202022%2002:29:57%20GMT	https://katsudoto.id/media/public/70/9789/cover/thumb_md_55402_1646188196_720_720.jpeg	C:/My%20Web%20Sites/wed1/katsudoto.id/media/public/70/9789/cover/thumb_md_55402_1646188196_720_720.jpg	(from https://raisari.katsudoto.id/181252)
23:50:42	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2020%20Oct%202022%2016:50:44%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/wed1/www.googletagmanager.com/gtm.25445.delayed	(from https://raisari.katsudoto.id/181252)
23:50:42	89472/89472	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2003%20Dec%202021%2015:45:06%20GMT	https://katsudoto.id/src/jquery.js	C:/My%20Web%20Sites/wed1/katsudoto.id/src/jquery.js	(from https://raisari.katsudoto.id/181252)
23:50:43	8089/8089	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20May%202021%2013:27:27%20GMT	https://katsudoto.id/plugin/selectize/dist/css/selectize.default.css	C:/My%20Web%20Sites/wed1/katsudoto.id/plugin/selectize/dist/css/selectize.default.css	(from https://raisari.katsudoto.id/181252)
23:50:43	1109/1109	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20May%202021%2007:06:36%20GMT	https://katsudoto.id/plugin/flexbin/flexbin.css	C:/My%20Web%20Sites/wed1/katsudoto.id/plugin/flexbin/flexbin.css	(from https://raisari.katsudoto.id/181252)
23:50:43	164970/164970	---M--	200	added ('OK')	image/png	date:Thu,%2020%20May%202021%2013:29:29%20GMT	https://katsudoto.id/media/kat/favicon.png	C:/My%20Web%20Sites/wed1/katsudoto.id/media/kat/favicon.png	(from https://raisari.katsudoto.id/181252)
23:50:43	26053/26053	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20May%202021%2013:04:54%20GMT	https://katsudoto.id/plugin/aos/dist/aos.css	C:/My%20Web%20Sites/wed1/katsudoto.id/plugin/aos/dist/aos.css	(from https://raisari.katsudoto.id/181252)
23:50:43	21386/21386	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20May%202021%2012:16:44%20GMT	https://katsudoto.id/plugin/lightgallery/dist/css/lightgallery.css	C:/My%20Web%20Sites/wed1/katsudoto.id/plugin/lightgallery/dist/css/lightgallery.css	(from https://raisari.katsudoto.id/181252)
23:50:43	35346/35346	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Oct%202022%2016:50:45%20GMT	https://raisari.katsudoto.id/	C:/My%20Web%20Sites/wed1/raisari.katsudoto.id/index.html	(from https://raisari.katsudoto.id/181252)
23:50:44	59398/59398	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20May%202021%2013:06:11%20GMT	https://katsudoto.id/plugin/fontawesome/css/all.css	C:/My%20Web%20Sites/wed1/katsudoto.id/plugin/fontawesome/css/all.css	(from https://raisari.katsudoto.id/181252)
23:50:44	1397/1397	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20May%202021%2013:04:45%20GMT	https://katsudoto.id/plugin/slick/slick.css	C:/My%20Web%20Sites/wed1/katsudoto.id/plugin/slick/slick.css	(from https://raisari.katsudoto.id/181252)
23:50:44	2069/2069	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20May%202021%2013:08:38%20GMT	https://katsudoto.id/plugin/modal-video/css/modal-video.min.css	C:/My%20Web%20Sites/wed1/katsudoto.id/plugin/modal-video/css/modal-video.min.css	(from https://raisari.katsudoto.id/181252)
23:50:45	149012/149012	---MCZ	200	added ('OK')	text/css	date:Thu,%2013%20Oct%202022%2004:35:46%20GMT	https://katsudoto.id/src/universal.css?1666284641	C:/My%20Web%20Sites/wed1/katsudoto.id/src/universal1293.css	(from https://raisari.katsudoto.id/181252)
